epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,686.329,0.71059,1.37849,1.09274,0.85083,0.70564,0.82709,0.63218,0.8542,1.82795,1.16072,0.000661765,0.000661765,0.000661765
2,1582.55,0.84317,1.09243,1.15833,0.82138,0.78144,0.86691,0.6515,0.93901,1.53298,1.25145,0.00130213,0.00130213,0.00130213
3,2468.73,0.86461,1.02483,1.15458,0.79366,0.84063,0.89032,0.65298,0.91088,1.33612,1.17642,0.00191609,0.00191609,0.00191609
4,3272.57,0.86417,0.91672,1.17275,0.96542,0.86356,0.94304,0.75928,0.79905,0.87921,1.06599,0.0018812,0.0018812,0.0018812
5,3944.11,0.80005,0.79188,1.12359,0.92314,0.8866,0.91857,0.76202,0.70709,0.86299,1.00388,0.0018416,0.0018416,0.0018416
6,4483.78,0.77274,0.73542,1.10681,0.93547,0.92165,0.95234,0.79471,0.68109,0.77761,0.99254,0.001802,0.001802,0.001802
7,5078.68,0.75368,0.71262,1.09893,0.9294,0.9229,0.95684,0.80879,0.66914,0.62803,0.94769,0.0017624,0.0017624,0.0017624
8,5607.6,0.72705,0.66463,1.09631,0.94907,0.93814,0.94999,0.81745,0.60132,0.67305,0.9126,0.0017228,0.0017228,0.0017228
9,6114.52,0.72701,0.65009,1.08947,0.96802,0.94021,0.97249,0.8346,0.59375,0.54312,0.90877,0.0016832,0.0016832,0.0016832
10,6626.74,0.67174,0.60811,1.05557,0.9792,0.93814,0.96169,0.83945,0.57825,0.51318,0.89697,0.0016436,0.0016436,0.0016436
11,7127.7,0.67134,0.61538,1.0633,0.97482,0.91753,0.95954,0.82159,0.59425,0.53298,0.92427,0.001604,0.001604,0.001604
12,7630.65,0.64318,0.57881,1.04685,0.98219,0.9299,0.95922,0.84718,0.54836,0.50273,0.86537,0.0015644,0.0015644,0.0015644
13,8132.58,0.63313,0.5702,1.03447,0.98477,0.9334,0.96284,0.84597,0.57977,0.48648,0.8989,0.0015248,0.0015248,0.0015248
14,8708.63,0.63924,0.57451,1.04563,0.96856,0.93814,0.97877,0.86629,0.51322,0.4375,0.83832,0.0014852,0.0014852,0.0014852
15,9244,0.60911,0.541,1.03119,0.98491,0.94171,0.98543,0.87949,0.50312,0.41396,0.84096,0.0014456,0.0014456,0.0014456
16,9786.74,0.61351,0.52744,1.03136,0.98594,0.92577,0.97499,0.87331,0.49022,0.43163,0.84626,0.001406,0.001406,0.001406
17,10350.4,0.59967,0.51544,1.01514,0.97488,0.96029,0.9802,0.87122,0.48083,0.40616,0.83681,0.0013664,0.0013664,0.0013664
18,10886.9,0.59072,0.51862,1.01064,0.974,0.94227,0.98043,0.87658,0.51051,0.42198,0.86232,0.0013268,0.0013268,0.0013268
19,11415,0.59748,0.51974,1.01944,0.98047,0.9314,0.96895,0.86274,0.50817,0.44281,0.82266,0.0012872,0.0012872,0.0012872
20,11948.6,0.5901,0.51608,1.01006,0.97871,0.94021,0.98112,0.8915,0.48564,0.40732,0.84972,0.0012476,0.0012476,0.0012476
21,12621.2,0.56332,0.49297,1.00179,0.98476,0.93261,0.976,0.87631,0.48964,0.42351,0.82877,0.001208,0.001208,0.001208
22,13259.4,0.54693,0.47538,0.98965,0.96882,0.96099,0.98524,0.89757,0.45644,0.40238,0.8197,0.0011684,0.0011684,0.0011684
23,13819.3,0.52268,0.45691,0.98346,0.98482,0.93604,0.98114,0.9015,0.41049,0.35389,0.77947,0.0011288,0.0011288,0.0011288
24,14370.5,0.53109,0.46239,0.98781,0.98726,0.95842,0.98223,0.8846,0.47035,0.42006,0.81117,0.0010892,0.0010892,0.0010892
25,15048.3,0.54308,0.48546,1.00639,0.98106,0.94433,0.98248,0.89455,0.43652,0.36719,0.792,0.0010496,0.0010496,0.0010496
26,15702.8,0.51685,0.43771,0.98841,0.99354,0.95165,0.98155,0.89644,0.42934,0.38064,0.7927,0.00101,0.00101,0.00101
27,16422.5,0.50345,0.44221,0.97858,0.96686,0.96242,0.98075,0.90927,0.41139,0.35441,0.77958,0.0009704,0.0009704,0.0009704
28,17231.6,0.49684,0.43203,0.9787,0.95129,0.96642,0.98277,0.91276,0.41091,0.36189,0.78106,0.0009308,0.0009308,0.0009308
29,18042,0.49179,0.42017,0.97704,0.97888,0.96289,0.98126,0.90472,0.41926,0.35147,0.78941,0.0008912,0.0008912,0.0008912
30,18827.2,0.4858,0.42644,0.97047,0.96026,0.96495,0.98184,0.90739,0.40564,0.35339,0.779,0.0008516,0.0008516,0.0008516
31,19610.6,0.48452,0.40942,0.9674,0.97596,0.96701,0.9845,0.90684,0.41291,0.32593,0.78827,0.000812,0.000812,0.000812
32,20470.6,0.46802,0.40726,0.95844,0.98349,0.94021,0.9828,0.89941,0.41318,0.34428,0.78385,0.0007724,0.0007724,0.0007724
33,21272.7,0.46791,0.4022,0.96324,0.95067,0.96701,0.98172,0.92202,0.36763,0.33619,0.76616,0.0007328,0.0007328,0.0007328
34,22055.4,0.45602,0.38878,0.95584,0.9864,0.95876,0.98674,0.91537,0.41093,0.34442,0.78311,0.0006932,0.0006932,0.0006932
35,22835,0.43866,0.37827,0.94194,0.9731,0.96971,0.9811,0.90437,0.43366,0.31804,0.85249,0.0006536,0.0006536,0.0006536
36,23627.1,0.45585,0.38845,0.95479,0.9782,0.96495,0.98238,0.90419,0.40964,0.32203,0.80805,0.000614,0.000614,0.000614
37,24417.5,0.44236,0.38448,0.94792,0.9837,0.96289,0.98555,0.92273,0.38463,0.32169,0.76211,0.0005744,0.0005744,0.0005744
38,25202.8,0.44126,0.36826,0.94746,0.9525,0.96082,0.98388,0.9182,0.35486,0.31771,0.74906,0.0005348,0.0005348,0.0005348
39,26125.5,0.41702,0.36377,0.94082,0.99146,0.95749,0.98628,0.90628,0.40673,0.31017,0.80815,0.0004952,0.0004952,0.0004952
40,26931.6,0.41514,0.36749,0.93744,0.98267,0.96701,0.98588,0.92646,0.35626,0.31167,0.76104,0.0004556,0.0004556,0.0004556
41,27704.3,0.34739,0.29141,0.88807,0.97858,0.96082,0.98202,0.9061,0.38813,0.33571,0.78123,0.000416,0.000416,0.000416
42,28462.7,0.34898,0.27766,0.88281,0.98171,0.95876,0.98436,0.90978,0.36615,0.32276,0.75888,0.0003764,0.0003764,0.0003764
43,29206.1,0.33036,0.26122,0.87182,0.98696,0.96082,0.98198,0.92143,0.3829,0.31488,0.76686,0.0003368,0.0003368,0.0003368
44,29970.3,0.32819,0.25913,0.87082,0.9751,0.95464,0.98672,0.9266,0.36577,0.29374,0.76343,0.0002972,0.0002972,0.0002972
45,30730.6,0.31953,0.25495,0.86879,0.9791,0.95876,0.98249,0.92664,0.35365,0.29618,0.76384,0.0002576,0.0002576,0.0002576
46,31490.8,0.31043,0.24773,0.85747,0.98856,0.95464,0.98155,0.92903,0.34319,0.28435,0.75247,0.000218,0.000218,0.000218
47,33008.8,0.29345,0.2369,0.85665,0.98952,0.9567,0.98219,0.9301,0.33243,0.27653,0.74777,0.0001784,0.0001784,0.0001784
48,33562.1,0.29489,0.24149,0.86065,0.98939,0.96118,0.98193,0.93051,0.33177,0.2686,0.74837,0.0001388,0.0001388,0.0001388
49,34100.4,0.28375,0.2299,0.85034,0.98092,0.95464,0.98114,0.93082,0.3297,0.2869,0.74372,9.92e-05,9.92e-05,9.92e-05
50,34659.8,0.27963,0.22135,0.84642,0.98301,0.95432,0.98145,0.93006,0.32499,0.28105,0.74633,5.96e-05,5.96e-05,5.96e-05
